Marcos,Como pesquisar,Meses
"Postura: pernas e braços fletidos, cabeça lateralizada","Deite a criança em superfície plana, de costas com a barriga para cima; observe se seus braços e pernas ficam flexionados e sua cabeça lateralizada.",1
Observa um rosto,"Posicione seu rosto a aproximadamente 30 cm acima do rosto da criança. Observe se a criança olha para
você, de forma evidente.",1
Reage ao som,Fique atrás da criança e bata palmas ou balance um chocalho a cerca de 30 cm de cada orelha da criança e observe se ela reage ao estímulo sonoro com movimentos nos olhos ou  mudança da expressão facial.,1
Eleva a cabeça,"Coloque a criança de bruços (barriga para baixo) e observe se ela levanta a cabeça, desencosta o queixo da superfície, sem virar para um dos lados.",1
Sorri quando estimulada,"Sorria e converse com a criança; não lhe faça cócegas ou toque sua face. Observe se ela responde com
um sorriso.",2
Abre as mãos,Observe se em alguns momentos a criança abre as mãos espontaneamente.,2
Emite sons,"Observe se a criança emite algum som, que não seja choro. Caso não seja observado pergunte ao
acompanhante se faz em casa.",2
Movimenta os membros,Observe se a criança movimenta ativamente os membros superiores e inferiores.,2
"Responde ativamente ao
contato social",Fique à frente do bebê e converse com ele. Observe se ele responde com sorriso e emissão de sons como se estivesse “conversando” com você. Pode pedir que a mãe o faça.,3-4
Segura objetos,Ofereça um objeto tocando no dorso da mão ou dedos da criança. Esta deverá abrir as mãos e segurar o objeto pelo menos  por alguns segundos.,3-4
"Emite sons, ri alto","Fique à frente da criança e converse com ela. Observe se ela emite sons (gugu, eeee, etc), veja se ela ri
emitindo sons (gargalhada).",3-4
"Levanta a cabeça e apoia-se nos
antebraços, de bruços","Coloque a criança de bruços, numa superfície firme. Chame sua atenção a frente com objetos ou seu rosto e observe se ela levanta a cabeça apoiando-se nos antebraços.",3-4
Busca ativa de objetos,Coloque um objeto ao alcance da criança (sobre a mesa ou na palma de sua mão) chamando sua atenção para o mesmo. Observe se ela tenta alcançá-lo.,5-6
Leva objetos a boca,Ofereça um objeto na mão da criança e observe se ela o leva a boca.,5-6
Localiza o som,"Faça um barulho suave (sino, chocalho, etc.) próximo à orelha da criança e observe se ela vira a cabeça em
direção ao objeto que produziu o som. Repita no lado oposto.",5-6
Muda de posição (rola),Coloque a criança em superfície plana de barriga para cima. Incentive-a a virar para a posição de bruços.,5-6
Brinca de esconde-achou,"Coloque-se à frente da criança e brinque de aparecer e desaparecer, atrás de um pano ou de outra pessoa. Observe se a criança faz movimentos para procurá-lo quando desaparece, como tentar puxar o pano ou olhar
atrás da outra pessoa.",6-8
Transfere objetos de uma mão para outra,"Ofereça um objeto para que a criança segure. Observe se ela o transfere de uma mão para outra. Se não fizer, ofereça outro objeto e observe se ela transfere o primeiro para outra mão.",6-8
Duplica sílabas,"Observe se a criança fala “papá”, “dadá”,”mamã”. Se não o fizer, pergunte a mãe se o faz em casa.",6-8
Senta-se sem apoio,"Coloque a criança numa superfície firme, ofereça-lhe um objeto para que ela segure e observe se ela fica sentada sem o apoio das mãos para equilibrar-se.",6-8
"
Imita gestos","Faça algum gesto conhecido pela criança como bater palmas ou dar tchau e observe se ela o imita. Caso ela não o faça, peça a mãe para estimulá-la.",9-11
Faz pinça,"Coloque próximo à criança um objeto pequeno ou uma bolinha de papel. Chame atenção da criança para que ela o pegue. Observe se ao pegá-lo ela usa o movimento de pinça, com qualquer parte do polegar associado
ao indicador.",9-11
Produz “jargão”,"Observe se a criança produz uma conversação incompreensível consigo mesma, com você ou com a mãe (jargão). Caso não seja possível observar, pergunte se ela o faz em casa.",9-11
Anda com apoio,Observe se a criaça consegue dar alguns passos com apoio.,9-11
Mostra o que quer,"A criança indica o que quer sem que seja por meio do choro, podendo ser através de palavras ou sons, apontando ou estendendo a mão para alcançar. Considerar a informação do acompanhante.",12-15
Coloca blocos na caneca,"Coloque três blocos e a caneca sobre a mesa, em frente à criança. Estimule-a a colocar os blocos dentro da caneca, através de demonstração e fala. Observe se a criança consegue colocar pelo menos um bloco dentro da caneca e soltá-lo.",12-15
Diz uma palavra,Observe se durante o atendimento a criança diz pelo menos uma palavra que não seja nome de membros da família ou de animais de estimação. Considere a informação do acompanhante.,12-15
Anda sem apoio,"Observe se a criança já anda bem, com bom equilíbrio, sem se apoiar.",12-15
Usa colher ou garfo,"A criança usa colher ou garfo, derramando pouco fora da boca. Considere a informação do acompanhante.",15-18
Constrói torre de 2 cubos,Observe se a criança consegue colocar um cubo sobre o outro sem que ele caia ao retirar sua mão.,15-18
Fala 3 palavras,Observe se durante o atendimento a criança diz três palavras que não sejam nome de membros da família ou de animais de estimação. Considere a informação do acompanhante.,15-18
Anda para trás,Peça à criança para abrir uma porta ou gaveta e observe se ela dá dois passos para trás sem cair.,15-18
