Marcos,Como pesquisar,Meses
Brinca de esconde-achou,"Coloque-se à frente da criança e brinque de aparecer e desaparecer, atrás de um pano ou de outra pessoa. Observe se a criança faz movimentos para procurá-lo quando desaparece, como tentar puxar o pano ou olhar
atrás da outra pessoa.",6-8
Transfere objetos de uma mão para outra,"Ofereça um objeto para que a criança segure. Observe se ela o transfere de uma mão para outra. Se não fizer, ofereça outro objeto e observe se ela transfere o primeiro para outra mão.",6-8
Duplica sílabas,"Observe se a criança fala “papá”, “dadá”,”mamã”. Se não o fizer, pergunte a mãe se o faz em casa.",6-8
Senta-se sem apoio,"Coloque a criança numa superfície firme, ofereça-lhe um objeto para que ela segure e observe se ela fica sentada sem o apoio das mãos para equilibrar-se.",6-8
"
Imita gestos","Faça algum gesto conhecido pela criança como bater palmas ou dar tchau e observe se ela o imita. Caso ela não o faça, peça a mãe para estimulá-la.",9-11
Faz pinça,"Coloque próximo à criança um objeto pequeno ou uma bolinha de papel. Chame atenção da criança para que ela o pegue. Observe se ao pegá-lo ela usa o movimento de pinça, com qualquer parte do polegar associado
ao indicador.",9-11
Produz “jargão”,"Observe se a criança produz uma conversação incompreensível consigo mesma, com você ou com a mãe (jargão). Caso não seja possível observar, pergunte se ela o faz em casa.",9-11
Anda com apoio,Observe se a criaça consegue dar alguns passos com apoio.,9-11
Mostra o que quer,"A criança indica o que quer sem que seja por meio do choro, podendo ser através de palavras ou sons, apontando ou estendendo a mão para alcançar. Considerar a informação do acompanhante.",12-15
Coloca blocos na caneca,"Coloque três blocos e a caneca sobre a mesa, em frente à criança. Estimule-a a colocar os blocos dentro da caneca, através de demonstração e fala. Observe se a criança consegue colocar pelo menos um bloco dentro da caneca e soltá-lo.",12-15
Diz uma palavra,Observe se durante o atendimento a criança diz pelo menos uma palavra que não seja nome de membros da família ou de animais de estimação. Considere a informação do acompanhante.,12-15
Anda sem apoio,"Observe se a criança já anda bem, com bom equilíbrio, sem se apoiar.",12-15
Usa colher ou garfo,"A criança usa colher ou garfo, derramando pouco fora da boca. Considere a informação do acompanhante.",15-18
Constrói torre de 2 cubos,Observe se a criança consegue colocar um cubo sobre o outro sem que ele caia ao retirar sua mão.,15-18
Fala 3 palavras,Observe se durante o atendimento a criança diz três palavras que não sejam nome de membros da família ou de animais de estimação. Considere a informação do acompanhante.,15-18
Anda para trás,Peça à criança para abrir uma porta ou gaveta e observe se ela dá dois passos para trás sem cair.,15-18
