IDADE,VACINA,DOSE,DOENÇAS EVITADAS
"
Ao nascer",Vacina BCG,Dose única,Formas graves da tuberculose (miliar e meníngea)
"
Ao nascer",Vacina hepatite B (recombinante),Dose ao nascer,Hepatite B
2 meses,"Vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae B (conjugada) - (Penta)",1ª dose,"
Difteria, tétano, coqueluche, hepatite B e infecções causadas pelo Haemophilus
influenzae B"
2 meses,"Vacina poliomielite 1, 2 e 3 (inativada) - (VIP)",1ª dose,Poliomielite
2 meses,"Vacina pneumocócica 10-valente (Conjugada) -
(Pneumo 10)","
1ª dose","Infecções invasivas (como meningite e pneumonia) e otite média aguda, causadas pelos 10 sorotipos de Streptococus pneumoniae"
2 meses,"Vacina rotavírus humano G1P1 [8] (atenuada) -
(VRH)","
1ª dose","
Diarreia por rotavírus (Gastroenterites)"
3 meses,Vacina meningocócica C (conjugada) - (Meningo C),1ª dose,Doença invasiva causada pela Neisseria meningitidis do sorogrupo C
4 meses,"Vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae B (conjugada) - (Penta)",2ª dose,"Difteria, tétano, coqueluche, hepatite B e infecções causadas pelo Haemophilus
influenzae B"
4 meses,"Vacina poliomielite 1, 2 e 3 (inativada) - (VIP)",2ª dose,Poliomielite
4 meses,"Vacina pneumocócica 10-valente (Conjugada) -
(Pneumo 10)",2ª dose,"Infecções invasivas (como meningite e pneumonia ) e otite média aguda, causadas pelos 10 sorotipos Streptococus pneumoniae"
4 meses,"Vacina rotavírus humano G1P1 [8] (atenuada) -
(VRH)","
2ª dose","
Diarreia por rotavírus (Gastroenterites)"
5 meses,Vacina meningocócica C (conjugada) - (Meningo C),2ª dose,Doença invasiva causada pela Neisseria meningitidis do sorogrupo C
6 meses,"Vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae B (conjugada) - (Penta)",3ª dose,"Difteria, tétano, coqueluche, hepatite B e infecções causadas pelo Haemophilus
influenzae B"
6 meses,"Vacina poliomielite 1, 2 e 3 (inativada) - (VIP)",3ª dose,Poliomielite
6 meses,Vacina Influenza1,1 ou 2 doses (anual),Infecções pelo vírus influenza
9 meses,Vacina febre amarela (atenuada) - (FA)2,Uma dose,Febre amarela
12 meses,"Vacina pneumocócica 10-valente (Conjugada) -
(Pneumo 10)",Reforço,"Infecções invasivas (como meninigite, pneumonia e otite média aguda), causadas pelos 10 sorotipos Streptococus pneumoniae"
12 meses,Vacina meningocócica C (conjugada) - (Meningo C),Reforço,Doença invasiva causada pela Neisseria meningitidis do sorogrupo C
12 meses,"Vacina sarampo, caxumba, rubéola (Tríplice viral)",1ª dose,"Sarampo, caxumba e rubéola"
15 meses,"Vacina adsorvida difteria, tétano e pertussis (DTP)",1º reforço,"Difteria, tétano e coqueluche"
15 meses,Vacina poliomielite 1 e 3 (atenuada) - (VOPb),1º reforço,Poliomielite
15 meses,Vacina adsorvida hepatite A (inativada),1 dose,Hepatite A
15 meses,"Vacina sarampo, caxumba, rubéola e varicela
(Atenuada) - (Tetra viral)3","
1 dose","
Sarampo, caxumba, rubéola e varicela"
4 anos,"Vacina adsorvida difteria, tétano e pertussis (DTP)",2º reforço,"Difteria, tétano e coqueluche"
4 anos,Vacina febre amarela (atenuada),Reforço,Febre amarela
4 anos,Vacina poliomielite 1 e 3 (atenuada) - (VOPb),2º reforço,Poliomielite
4 anos,Vacina varicela (monovalente) - (Varicela),1 dose,Varicela
5 anos,Vacina pneumocócica 23-valente - (Pneumo 23),1 dose4,Para a proteção contra infecções invasivas pelo pneumococo na população indígena
